id,category_id,name_en,name_fi,description_en,description_fi,price,price_large,discount_price,currency,dietary_tags,allergens,available,image_url,order_links,options_group_ids
beef_mezze,mezze_bowls,Beef Döner Mezze Bowl,Nauta Döner Mezze Bowl,"Pide bread, 2 falafel, hummus, tzatziki, tomato, cucumber, tabbouleh, eggplant, beef döner, chickpeas, salad mix, red cabbage, roasted onion, sumac onion, parsley","Pide-leipää, 2 falafelia, hummusta, tzatzikia, tomaattia, kurkkua, tabulea, munakoisoa, nautadöneriä, kikherneitä, salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, persiljaa",14.5,17.5,,EUR,"L,G",,TRUE,assets/images/image1.jpg,,size_option
halloumi_mezze,mezze_bowls,Halloumi Mezze Bowl,Halloumi Mezze Bowl,"Pide bread, 4 falafel, tzatziki, hummus, tomato, cucumber, tabbouleh, halloumi, chickpeas, eggplant, salad mix, red cabbage, roasted onion, sumac onion, parsley","Pide-leipää, 4 falafelia, tzatzikia, hummusta, tomaattia, kurkkua, tabulea, halloumia, kikherneitä, munakoisoa, salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, persiljaa",12.9,15.9,,EUR,"K,G",,TRUE,assets/images/image1.jpg,,size_option
vegan_mezze,mezze_bowls,Vegan Mezze Bowl,Vegan Mezze Bowl,"Pide bread, 5 falafel, hummus, Boss tomato sauce, tomato, cucumber, tabbouleh, chickpeas, eggplant, salad mix, red cabbage, roasted onion, sumac onion, cauliflower, parsley","Pide-leipää, 5 falafelia, hummusta, Boss-tomaattikastiketta, tomaattia, kurkkua, tabulea, kikherneitä, munakoisoa, salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, kukkakaalia, persiljaa",12.9,15.9,,EUR,"V,G",,TRUE,assets/images/image1.jpg,,size_option
goat_cheese_mezze,mezze_bowls,Goat Cheese Mezze Bowl,Vuohenjuusto Mezze Bowl,"Pide bread, 4 falafel, hummus, pesto, tomato, cucumber, tabbouleh, goat cheese, salad mix, red cabbage, pomegranate, roasted onion, sumac onion, parsley","Pide-leipää, 4 falafelia, hummusta, pestoa, tomaattia, kurkkua, tabulea, vuohenjuustoa, salaattimix, punakaalia, granaattiomenaa, paahdettua sipulia, sumakkisipulia, persiljaa",12.5,15.5,,EUR,"L,K,G",,TRUE,assets/images/image1.jpg,,size_option
feta_mezze,mezze_bowls,Feta Mezze Bowl,Feta Mezze Bowl,"Pide bread, 4 falafel, grilled feta, olives, tzatziki, hummus, tomato, cucumber, tabbouleh, pomegranate, salad mix, red cabbage, roasted onion, sumac onion, parsley","Pide-leipää, 4 falafelia, paistettua fetaa, oliiveja, tzatzikia, hummusta, tomaattia, kurkkua, tabulea, granaattiomenaa, salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, persiljaa",12.5,15.5,,EUR,"L,K,G",,TRUE,assets/images/image1.jpg,,size_option
# Döner Bowls,,,,,,,,,,,,,,,
doner_fries_bowl,doner_bowls,Döner French Fries Bowl,Döner Ranskalaiset Bowl,"Chicken/beef döner (+1€ for beef) with curry mayo/chili mayo, hummus, tzatziki, red cabbage, roasted onion, sumac onion, jalapeño, pickles, tomato-cucumber-iceberg salad mix, seasoned french fries, kebab sauce, your choice of döner, garlic mayo","Kana/nauta döner (+1€ nauta) currymajoneesia/chilimajoneesi, hummusta, tzatzikia, punakaalia, paahdettu sipulia, sumakkisipulia, jalapeño, suolakurkkua, tomaatti-kurkku-jäävuorisalaattimix, maustettuja ranskalaisia perunoita, kebabkastiketta, valitsemasi döner, valkosipulimajoneesia",12.9,15.9,,EUR,"L,K,G",,TRUE,assets/images/image1.jpg,,protein_option
doner_rice_bowl,doner_bowls,Döner Rice Bowl,Döner Riisi Bowl,"Chicken/beef döner (+1€ for beef) with curry mayo/chili mayo, hummus, tzatziki, red cabbage, roasted onion, sumac onion, jalapeño, pickles, tomato-cucumber-iceberg salad mix, rice, kebab sauce, your choice of döner, garlic mayo","Kana/nauta döner (+1€ nauta) currymajoneesia/chilimajoneesi, hummusta, tzatzikia, punakaalia, paahdettu sipulia, sumakkisipulia, jalapeño, suolakurkkua, tomaatti-kurkku-jäävuorisalaattimix, riisiä, kebabkastiketta, valitsemasi döner, valkosipulimajoneesi",12.9,15.9,,EUR,"L,K,G",,TRUE,assets/images/image1.jpg,,protein_option
doner_iskander_bowl,doner_bowls,Döner Iskander Bowl,Döner Iskander Bowl,"Chicken/beef döner (+1€ for beef) with curry mayo/chili mayo, hummus, tzatziki, red cabbage, roasted onion, sumac onion, jalapeño, pickles, tomato-cucumber-iceberg salad mix, pide bread, kebab sauce, your choice of döner, garlic mayo","Kana/nauta döner (+1€ nauta) currymajoneesia/chilimajoneesi, hummusta, tzatzikia, punakaalia, paahdettu sipulia, sumakkisipulia, jalapeño, suolakurkkua, tomaatti-kurkku-jäävuorisalaattimix, pide-leipää, kebabkastiketta, valitsemasi döner, valkosipulimajoneesia",12.9,15.9,,EUR,"L,K,G",,TRUE,assets/images/image1.jpg,,protein_option
voner_bowl,doner_bowls,Vöner Bowl,Vöner Bowl,"Pide bread/rice/french fries, seitan döner (contains gluten), hummus, Boss tomato sauce, tomato, cucumber, pickles, fresh salad mix, red cabbage, roasted onion, sumac onion, vegan mayo, parsley","Pide-leipää/riisi/ranskalaiset, seitan döner (sis. gluteenia), hummusta, Boss-tomaattikastiketta, tomaattia, kurkkua, suolakurkkua, tuore salaattimix, punakaalia, paahdettu sipulia, sumakkisipulia, vegaanimajoneesi, persiljaa",12.9,15.9,,EUR,V,gluten,TRUE,assets/images/image1.jpg,,size_option
